Year,England Population in Thousands
1086,1710
1087,1719.809703
1088,1729.675681
1089,1739.598257
1090,1749.577755
1091,1759.614502
1092,1769.708827
1093,1779.86106
1094,1790.071533
1095,1800.340579
1096,1810.668536
1097,1821.055741
1098,1831.502534
1099,1842.009257
1100,1852.576253
1101,1863.203868
1102,1873.892451
1103,1884.642351
1104,1895.453919
1105,1906.32751
1106,1917.263478
1107,1928.262183
1108,1939.323984
1109,1950.449242
1110,1961.638323
1111,1972.891591
1112,1984.209416
1113,1995.592168
1114,2007.040218
1115,2018.553942
1116,2030.133717
1117,2041.779921
1118,2053.492935
1119,2065.273143
1120,2077.12093
1121,2089.036684
1122,2101.020795
1123,2113.073654
1124,2125.195657
1125,2137.3872
1126,2149.648681
1127,2161.980503
1128,2174.383068
1129,2186.856783
1130,2199.402055
1131,2212.019295
1132,2224.708916
1133,2237.471333
1134,2250.306965
1135,2263.216229
1136,2276.19955
1137,2289.257352
1138,2302.390063
1139,2315.598111
1140,2328.881929
1141,2342.241953
1142,2355.678618
1143,2369.192365
1144,2382.783636
1145,2396.452875
1146,2410.200531
1147,2424.027052
1148,2437.932891
1149,2451.918504
1150,2465.984347
1151,2480.130882
1152,2494.35857
1153,2508.667878
1154,2523.059274
1155,2537.533228
1156,2552.090215
1157,2566.73071
1158,2581.455193
1159,2596.264145
1160,2611.158052
1161,2626.137399
1162,2641.202679
1163,2656.354383
1164,2671.593007
1165,2686.91905
1166,2702.333013
1167,2717.835402
1168,2733.426722
1169,2749.107485
1170,2764.878203
1171,2780.739392
1172,2796.691572
1173,2812.735264
1174,2828.870993
1175,2845.099288
1176,2861.420679
1177,2877.835701
1178,2894.34489
1179,2910.948787
1180,2927.647935
1181,2944.44288
1182,2961.334172
1183,2978.322364
1184,2995.408012
1185,3012.591674
1186,3029.873914
1187,3047.255296
1188,3064.736389
1189,3082.317765
1190,3100
1191,3125.666616
1192,3151.54574
1193,3177.639132
1194,3203.948566
1195,3230.47583
1196,3257.222727
1197,3284.191077
1198,3311.382713
1199,3338.799484
1200,3366.443253
1201,3394.315901
1202,3422.419321
1203,3450.755425
1204,3479.32614
1205,3508.133407
1206,3537.179185
1207,3566.46545
1208,3595.994192
1209,3625.767418
1210,3655.787154
1211,3686.05544
1212,3716.574333
1213,3747.34591
1214,3778.372261
1215,3809.655496
1216,3841.197743
1217,3873.001146
1218,3905.067866
1219,3937.400085
1220,3970
1221,3978.409386
1222,3986.836584
1223,3995.281634
1224,4003.744572
1225,4012.225436
1226,4020.724265
1227,4029.241096
1228,4037.775968
1229,4046.328919
1230,4054.899987
1231,4063.489211
